Port_IDs,total_realized_profit,total_fees_paid,total_trades,avg_trade_size,profit_rank
3672754654734989568,566.59765978,-35.7020338,474,250.92175928481015,136.0
3733192481840423936,2923.97719988,-461.70251606,689,1690.0907091436866,67.0
3768170840939476993,243.66889897,-1.08817494,14,198.25429664285713,140.0
3784403294629753856,2521.81430468,-359.48281354,6050,122.66214876444627,82.0
3786761687746711808,205.02139999,-29.1666496,82,752.9269426829268,141.0
3788465932399412480,13960.96645667,-726.83103713,3069,543.6177347735419,10.0
3818233536529843712,6419.60790714,-400.71774768,1421,572.4303322642505,27.0
3819545518395756033,980.0631999599999,-60.58602675,68,2089.350905882353,132.0
3826087012661391104,532.65697373,-1.01124399,108,40.49761420555556,137.0
3858510226868015873,-280.97295038999994,-219.85067293,996,790.5549996887551,145.0
3865845304835489536,1406.06618669,-98.93911633,882,224.35174045090702,122.0
3878631538480067329,3921.23304116,-200.85753329,2811,339.85513766752047,45.0
3879821005658659073,4268.00656095,-103.50828192,872,237.40431856387616,43.0
3880920727367689984,-176.82699999000002,-47.64328642,145,1118.2117034482758,144.0
3886752488982104320,7195.17832464,-300.51077735,1249,640.4816549846278,21.0
3887577207880438784,2417.51403674,-462.34479917,6050,186.29637292314052,89.0
3891020560590657281,2856.30056379,-71.16211533,437,374.9071271498856,70.0
3907081197088384000,18015.99737026,-622.53908854,4137,396.1681399684554,5.0
3910887259807777281,1803.30201001,-101.05589631,75,2694.8239038666666,111.0
3910983669796782848,6761.64804825,-192.15968597,640,1472.4548913531248,25.0
3911997667197443328,605.72231024,-28.63970115,64,1522.4292334375,134.0
3914654298562589441,343.47044904999996,-169.55488382000001,483,888.5657275501035,139.0
3919174299855478272,1456.3718076199998,-1123.33093357,1267,1818.291818885872,120.0
3923766029921022977,772.72903189,-246.89623403,1259,392.2100654704527,133.0
3925368433214965504,6789.43673863,-761.3541061,1458,1240.7780797462276,24.0
3926423286576838657,1309.45995959,-483.34237714,478,2022.3530445188285,127.0
3930688517098515713,1947.24457347,-258.69263626,288,2305.915519536111,106.0
3931992636670880512,10374.96528998,-800.55700458,6050,300.28567308013226,14.0
3932103299427844097,3860.30970535,-675.73227347,2589,681.7404385118579,46.0
3935808725185052672,2301.96412286,-821.90152495,1715,1135.0097972492713,98.0
3936410995029308417,10681.514,-176.28575699,20,29819.075699999998,13.0
3937714876784951296,1117.5308932100002,-440.21170475,511,2437.93425358317,129.0
3939318616482048768,9775.38910984,-458.84724448000003,315,3053.585976920635,15.0
3939925275039085824,2378.8786707,-180.53163177,5928,61.20253389559716,92.0
